gene,depletion_pval,concentration_pval,p_combined,p_size,p_sens,p_final,sample_size,sens_score,is_signal_sim,q_bh
Gene_129,0.8098711475549196,0.7899082891494956,0.8003204853319303,0.02061781866875989,0.6170212755957447,0.815295872698545,47.0,0.3829787234042553,0,0.9480038265807886
Gene_130,0.9578360770334067,0.06599505446957146,0.7999143532428958,0.011049610706077684,0.3146067405730337,0.8075745185227226,88.99999999999999,0.6853932584269663,0,0.9480038265807886
Gene_131,0.021615750733524678,0.23641667972952807,0.04009833003898827,0.013071708065727106,0.5066666656666666,0.09904958461220092,75.0,0.49333333333333335,0,0.24940542887964262
Gene_132,0.2584078576017386,0.07897727773195858,0.12344655403260962,0.014184157647595397,0.31884057871014493,0.15758212440469122,69.0,0.6811594202898551,0,0.3183664821166526
Gene_133,0.002256791396063406,0.10819124528434865,0.0044246530182362465,0.019047037639797315,0.5294117637058824,0.0685608724625073,51.00000000000001,0.47058823529411764,0,0.23430607656543911
Gene_134,0.4311782745703503,0.3083576077193438,0.3645010065009263,0.011834180588984777,0.3975903604457831,0.39517928912827927,83.0,0.6024096385542169,0,0.5961756517021455
Gene_135,0.5150376177741032,0.05790839416172421,0.1131230765565911,0.011428446322702124,0.27906976644186055,0.14331295084933982,86.0,0.7209302325581395,0,0.30585080973944473
Gene_136,0.004412743228336714,0.22545202220250082,0.008683314487396399,0.03076676552365587,0.5483870957741935,0.07534297471903428,31.0,0.45161290322580644,0,0.23430607656543911
Gene_137,0.7016539832593671,0.12343564578502172,0.27449431608656905,0.012269783764389475,0.287499999,0.2999539963863368,80.0,0.7125,0,0.49372719439795976
Gene_138,0.9749609371741201,0.9332349878195205,0.9635388548905651,0.019801326693244747,0.3673469377755102,0.96518062934256,49.0,0.6326530612244898,0,0.9966666666666659
Gene_139,0.14272126002806457,0.3207364812181054,0.20236603965295957,0.014598278978346202,0.5970149243731343,0.26005045908016966,67.0,0.40298507462686567,0,0.44616500332382053
Gene_140,0.0010114779165625982,0.4764012371866173,0.0020224580848679508,0.021977127515399486,0.5681818171818181,0.07108824476348219,44.0,0.4318181818181818,0,0.23430607656543911
Gene_141,0.15676023624718166,0.026998315759509985,0.046391791333152965,0.015503562994591547,0.4603174593174604,0.09976567561829863,63.0,0.5396825396825397,0,0.24941418904574658
Gene_142,0.014520636247440958,0.045321250462531194,0.022007047933149892,0.021977127515399486,0.29545454445454544,0.0577179151092696,44.0,0.7045454545454546,0,0.22898706017851056
Gene_143,0.8030088979395902,0.03787792875300687,0.08907140776605132,0.013071708065727106,0.3466666656666667,0.12753663934840087,75.0,0.6533333333333333,0,0.28761087236109145
Gene_144,0.35341590069771106,0.8844797405300021,0.7605607963342208,0.018017526141772544,0.3703703693703704,0.7714086569026495,54.0,0.6296296296296297,0,0.9246336640956415
Gene_145,0.009864953905018016,0.4164104547621552,0.019548498884102594,0.03773128563674277,0.599999999,0.09185751432478417,25.0,0.4,0,0.24316598932350983
Gene_146,0.004898654203295548,0.878750157599592,0.010186204542221855,0.03389500347440355,0.46428571328571433,0.0669170001338526,28.0,0.5357142857142857,0,0.23430607656543911
Gene_147,0.10604324317071652,0.01191423612728118,0.02147904476010093,0.028983448207562823,0.3333333323333334,0.06198120660090278,33.0,0.6666666666666666,0,0.22898706017851056
Gene_148,0.2579615018129475,0.8687305736885476,0.6873090862417145,0.014388239179285889,0.41176470488235295,0.7029735342898236,68.0,0.5882352941176471,0,0.8776039132452018
Gene_149,0.024541180568649155,0.7541879062496584,0.05292326186438273,0.022470953747007916,0.372093022255814,0.09622791256771224,43.0,0.627906976744186,0,0.24583773283722107
Gene_150,0.10034915374597317,0.00025459745846148917,0.0005079488473272997,0.028983448207562823,0.27272727172727274,0.03461963060932016,33.0,0.7272727272727273,0,0.16155827617682741
Gene_151,0.39039113882913745,0.5876451592058388,0.48789205746468894,0.027395522883651657,0.25714285614285715,0.5043740731272734,35.0,0.7428571428571429,0,0.7089595405403442
Gene_152,0.9781708595994169,0.4433958429122231,0.9560088417700658,0.014388239179285889,0.4411764695882353,0.9583677577311779,68.0,0.5588235294117647,0,0.9966666666666659
Gene_153,0.0038857587915568027,0.9076893952800629,0.008101661805810845,0.014598278978346202,0.6119402975074626,0.08161040453453128,67.0,0.3880597014925373,0,0.23430607656543911
Gene_154,0.0016239376932518838,0.6207286903581573,0.003254408123906205,0.01574770346128951,0.5161290312580644,0.06572454286015161,62.0,0.4838709677419355,0,0.23430607656543911
Gene_155,0.990077259015202,0.9167282487797204,0.9822374615692164,0.021977127515399486,0.4545454535454546,0.9832247811339925,44.0,0.5454545454545454,0,0.9966666666666659
Gene_156,0.055670625612550484,0.5972288492285593,0.11399139656178886,0.012738680131672453,0.42857142757142863,0.1600928595786596,77.0,0.5714285714285714,0,0.3183664821166526
Gene_157,0.012455080614622596,0.2833771824031578,0.024111043536133803,0.02020132614629566,0.47916666566666666,0.08115369249853266,48.0,0.5208333333333334,0,0.23430607656543911
Gene_158,0.08223693839373811,0.014912210228777865,0.025295704024566823,0.014184157647595397,0.3768115932028986,0.07002930010024866,69.0,0.6231884057971014,0,0.23430607656543911
Gene_159,0.39057840146479816,0.8346942878408896,0.6934699799086629,0.011049610706077684,0.6292134821460673,0.7167712833195781,88.99999999999999,0.3707865168539326,0,0.8871604653836145
Gene_160,0.8448227682734221,0.6606665100744031,0.7813529945316479,0.028983448207562823,0.3636363626363637,0.7911969854556575,33.0,0.6363636363636364,0,0.9419011731614971
Gene_161,0.3178296174488656,0.6911277211901306,0.5064552974104798,0.024095205457607793,0.37499999900000003,0.529232654881149,40.0,0.625,0,0.7321400363968464
Gene_162,0.45694092858403257,0.038746670985653334,0.07517347437790356,0.011428446322702124,0.29069767341860464,0.10794489633251925,86.0,0.7093023255813954,0,0.26420079521945267
Gene_163,0.5202082777913152,0.8193508589245008,0.7178808839104729,0.021051845775030165,0.21739130334782608,0.7255297227092835,46.0,0.782608695652174,0,0.8941387427755254
Gene_164,0.9894411643790857,0.836059966492744,0.9800706499344244,0.018017526141772544,0.3333333323333334,0.9808850596587761,54.0,0.6666666666666666,0,0.9966666666666659
Gene_165,0.33866272904563766,0.13504017031492074,0.19909714758019076,0.016259801418797126,0.2166666656666667,0.22055481843614344,60.00000000000001,0.7833333333333333,0,0.3958676228341036
Gene_166,0.18615137727324943,0.6319503662386808,0.343581075266565,0.02298748163261033,0.49999999900000003,0.38367541331674493,42.0,0.5,0,0.5889754151792137
Gene_167,0.20848139549020228,0.9306021893668444,0.8227214334190336,0.015999655922869782,0.5573770481803278,0.8347110880676016,61.0,0.4426229508196721,0,0.9516250189695785
Gene_168,0.18329158138935597,0.581073712482846,0.318787378505741,0.031743322856089495,0.3333333323333334,0.347073832988427,30.000000000000004,0.6666666666666666,0,0.5471884754322046
Gene_169,0.18200420396583047,0.4264169083225843,0.26767147226074306,0.01941685967589135,0.359999999,0.2999883264205121,50.0,0.64,0,0.49372719439795976
Gene_170,0.04593606204653636,0.8064433662512644,0.11205660471498258,0.02298748163261033,0.6428571418571428,0.1814969438368591,42.0,0.35714285714285715,0,0.3474209689251012
Gene_171,0.08728803000564865,0.8260932433428829,0.2573014873054984,0.011299314123332849,0.7126436771609195,0.3211987314230812,87.0,0.28735632183908044,0,0.5180624700372277
Gene_172,0.0009078139739608651,0.7614770813832709,0.001821195830486677,0.01156056413789841,0.5882352931176471,0.07281712382676864,85.0,0.4117647058823529,0,0.23430607656543911
Gene_173,0.0008204404302099137,0.7308690874316341,0.0016446277112438512,0.012738680131672453,0.5584415574415584,0.06914067702340287,77.0,0.44155844155844154,0,0.23430607656543911
Gene_174,0.7306306030911434,0.4907051978802528,0.6287188694332958,0.019047037639797315,0.31372548919607846,0.6430367906005381,51.00000000000001,0.6862745098039216,0,0.8315662189699004
Gene_175,0.0106588227971365,0.7960079826775763,0.02229189089381406,0.0327838995179941,0.5862068955517241,0.09255851492692535,29.0,0.41379310344827586,0,0.24316598932350983
Gene_176,0.6387025181185397,0.7313086724290206,0.6894930344754362,0.013071708065727106,0.39999999900000005,0.7045905703482906,75.0,0.6,0,0.8776039132452018
Gene_177,0.009099560432523643,0.18569745487538358,0.017430705393982893,0.014814541837353312,0.49999999900000003,0.07706900970690578,66.0,0.5,0,0.23430607656543911
Gene_178,0.13242223325486582,0.8626105218405835,0.4853203578416101,0.031743322856089495,0.39999999900000005,0.5108026523650575,30.000000000000004,0.6,0,0.7151237133110806
Gene_179,0.11610714404140543,0.8516575726587485,0.4027626772837121,0.031743322856089495,0.5666666656666666,0.4442582718043666,30.000000000000004,0.43333333333333335,0,0.653320987947598
Gene_180,0.5326616488969662,0.7153947227053687,0.6354129827844107,0.024690087971667385,0.5128205118205128,0.6582714936595438,39.0,0.48717948717948717,0,0.8439378123840305
