gene,Day0,Day10,Day2,Day4
Bcl3,1.130084292993247,1.2716311846238812,1.2152562331018777,1.4756722809339076
Bcl6,,1.0808113307229656,1.2050213315897684,1.3281531935717883
Bdh2,1.0427470487697117,1.3907303843162306,1.180078111060673,1.0984915159916693
Bean1,,1.3677549770244188,,1.4569758209646235
Bend6,0.8364817661248163,1.471679722059446,1.0331758452284279,1.0543733140229212
Bgn,1.6012588793469869,,1.0503677018667676,
Bhlhe22,,1.4237358631670485,,1.1468280405579296
Bhlhe23,,,,1.4419303749692083
Bicc1,1.1981007863819206,1.2417688260242947,1.1550925927014521,1.3219062254356881
Bin2,1.100004124436128,1.2903846074927228,1.1807015053393914,1.3071766987033002
Birc3,1.2046004835743336,1.2994770744712272,1.164818349108311,1.4366748809007066
Birc7,,1.2768666528097512,,1.4518419061088335
Blnk,0.480710570072538,0.5687761923634492,1.200951037849464,1.9522443231673554
Bmerb1,0.0014500663952330647,1.3813643932639421,1.2337075331827532,1.3960094564622216
Bmp1,1.4186862285954156,1.083098516452852,1.0867017857650136,1.0294972747547526
Bmp2,1.7755706933495037,0.2925198563068157,1.3669623449841666,1.3185159132407003
Bmp6,1.4316568787503867,0.8886644501498699,1.133023555790591,1.1944402190285497
Bmp7,1.1600255296884188,1.208612174279664,1.0223026021607509,1.361982919295359
Bmper,1.895316132780116,0.5622854151258698,1.4156905099371406,1.294714578547341
Bmpr1b,,1.2349117871491246,,1.5291999310766349
Bnc2,1.2858178012747312,1.1845273775996408,1.0983724408121793,1.3883465668672197
Boc,1.0233856900756946,1.507305568228346,0.9017814662389319,1.1656652979767783
Bpifb4,1.1617452233993206,1.2614361007633081,1.3393786845887334,
Bpifb5,,,1.344705454072867,
Brca1,0.6136345968537444,1.3684271382826987,1.0401302677745081,1.1152345201691134
Brinp1,,1.2240670215673024,,1.361868905834082
Bsn,1.1273225115527392,1.3043882227532202,0.9717007331096498,1.0786439764090452
Bspry,0.5059380359622623,1.3319349666438518,1.1943836180605043,1.3665483179800157
Bst1,,1.4345480905489385,,
Bst2,0.5879140208765252,1.3028596331621822,1.2237226383303303,1.2516796842245812
Btbd17,1.1749105539933846,1.507604456135652,1.3073911691762516,1.1752224068637183
Btn1a1,,1.6520591058243455,,
Bub1,0.5954051023807423,1.4253340492932562,1.022268677602483,1.387253502905605
Bub1b,0.0014500663952330647,1.357734726717093,1.0547952972075203,1.3867454913130564
C1ql1,1.1849067389461896,1.4496913590794251,1.0128126465070921,1.3114396201091436
C1ql3,,1.3027133394187962,1.291300773697249,1.4015932900002364
C1ql4,1.554361762908649,0.9382178076940891,,1.3431378606625348
C1qtnf1,,1.4455559424674171,,
C2,1.3119989041895255,,1.0242796421734937,0.9723515600978705
C3,1.053776006550042,1.1281000684319906,,1.4798002217037638
C9,,1.5174919711943513,,
CAAA01077340.1,,1.6427493170122975,,
Cabp1,1.1031885270831259,1.3632764643962734,0.9915863978441184,1.173787239410309
Cabp7,,1.5012091768497435,,1.3739334374386818
Cacna1b,1.0132716448751686,1.3032147560666067,1.198899090021708,1.377946212353861
Cacna1d,1.2692204721771578,1.027448420844824,1.316455635692027,1.058952000784299
Cacna1e,,1.3098018117950878,,1.5295490311250588
Cacna1i,,1.3344022716129424,,
Cacna2d2,1.1507443890816826,1.3538301017671568,0.9120514674029657,1.1292478639986951
Cacna2d3,,1.2091084240123517,1.0964383570801077,1.441998536380581
Cacnb1,0.49051271402763114,1.0889822983400803,1.12103319723031,1.3367810619443552
Cacnb4,,1.3677009752532148,,1.3788507431424297
Cacng1,,1.4797650700528209,,
Cacng2,,1.5308834536304843,,1.4633094615435451
Cacng3,,1.4790180672136137,,
Cacng4,1.5478709106340927,1.199170298919177,1.0411978486454203,1.048364018822974
Cacng5,,,,1.8674801376919474
Cacng7,0.48208652583046185,1.3052892647531336,1.0110886938647154,1.0272419880084191
Cacng8,1.5528027105062776,1.415359020121521,,1.2755830659782275
Cadm2,,1.251913396332192,,1.4446824868494887
Cadps,,1.2305793022683869,1.1620450700971405,1.3573544615123148
Cadps2,1.179468609674563,1.3281928101955023,1.262274018148202,1.14051791334359
Calb1,,1.3311828359786273,,1.431340803988292
Calb2,1.0634538921010455,1.277076181790716,0.9911769513765153,1.3139505391955244
Calca,0.5913520438595119,1.3059206140358,1.1313758798006517,1.191975465270572
Calcoco2,1.1683844343441971,,1.3435346250733284,
Calcrl,,1.7086482094647641,,1.2744229286105557
Calhm5,1.032389550139778,1.1728671088299527,1.3027165976520063,
Caln1,,1.5245738756586382,,1.2363001297785663
Caly,1.0663265803999136,1.3742212175970279,1.1809860162529051,1.5234525570352098
Camk1g,,1.3335380346841266,,1.086474678000891
Camkk1,1.3593433162413715,1.2847770883173466,,1.320449918458921
Capn6,1.6391026060306257,1.0917657606784525,1.3829913531697886,1.4662625363380353
Capsl,0.4475452206072347,1.3485720690534275,1.1694587861278294,1.6782277715500953
Car10,,1.3992086700509636,1.1311704253961898,1.1989983107537778
Car14,0.4485274008691136,1.3716632390136974,1.495403135113744,1.1379205217867705
Car3,0.5490752286582754,1.3144595408911592,1.2911393488847673,1.1075526372961624
Car4,1.083424584955845,0.29071747520927,1.3548456523885501,1.8596262578449854
Car5a,1.3520719242916504,0.49238784416081127,1.2555656273975355,1.0730544124115777
Car8,1.473686135242341,0.8658259518599576,1.5111332157485784,1.6510213870928614
Card6,1.4791993151818574,1.1533042375807439,,1.0817970356890256
Carmil2,1.0214317812234217,1.3963283129617736,1.2912480069490213,1.1955279733452466
Cartpt,,1.2487764508681836,,1.487161889726951
Casp4,,1.4314879191610643,,
Casp8,1.404786815464341,1.383782318999045,1.1913009266643917,1.3870238915266295
Casz1,1.1409214090038402,0.708774345127558,1.0775135402270009,1.378345474775561
Catsperd,1.0241984271281628,1.0576522738537564,,1.3927728318809929
Cav1,,1.481434127696307,,
Cav2,,1.3594848261170425,,
