gene,delta,Day0,Day2,Day4,Day10,max,labels
Btn1a1,0.08963367017234994,,,,1.6520591058243455,1.6520591058243455,0001
Gpr55,0.08963367017234994,,,,1.6510045353651601,1.6510045353651601,0001
Zg16,0.08963367017234994,,,,1.6475544666595925,1.6475544666595925,0001
CAAA01077340.1,0.08963367017234994,,,,1.6427493170122975,1.6427493170122975,0001
Gstp3,0.08963367017234994,1.2932244142951348,1.096682324487466,,1.6394585449854222,1.6394585449854222,0001
Il15,0.08963367017234994,,,,1.6337662754693227,1.6337662754693227,0001
Ankrd34b,0.08963367017234994,1.1371516758024345,,,1.6335312932672637,1.6335312932672637,0001
Cyp27a1,0.08963367017234994,1.1460195083111873,1.0779987572254741,1.0110014598324455,1.6280868855053214,1.6280868855053214,0001
Scin,0.08963367017234994,,,,1.6263942381098746,1.6263942381098746,0001
Sult1d1,0.08963367017234994,,,,1.6249347222116681,1.6249347222116681,0001
Selplg,0.08963367017234994,1.215116878200222,,,1.6234110071249415,1.6234110071249415,0001
Eras,0.08963367017234994,1.086188284355986,1.1955517980521921,,1.6224536314769074,1.6224536314769074,0001
Zcchc24,0.08963367017234994,0.44870017497880804,1.1570736985811343,1.0805732115118911,1.6224440220432246,1.6224440220432246,0001
Tns1,0.08963367017234994,1.2624118172833436,0.9844828745291774,1.1507192651018507,1.6218295152128095,1.6218295152128095,0001
Cfh,0.08963367017234994,,,,1.6218267155326285,1.6218267155326285,0001
Gper1,0.08963367017234994,,,,1.6214618074865894,1.6214618074865894,0001
Hs3st2,0.08963367017234994,,,,1.6184110097179223,1.6184110097179223,0001
Nr0b2,0.08963367017234994,,,,1.617639565825451,1.617639565825451,0001
Nkx2-2,0.08963367017234994,,,,1.6154223550399642,1.6154223550399642,0001
Sctr,0.08963367017234994,,,,1.6147637232086365,1.6147637232086365,0001
Krt20,0.08963367017234994,,1.2687174885153158,1.246785557353581,1.6119262929939502,1.6119262929939502,0001
Aldh3b2,0.08963367017234994,,,,1.6103414728093328,1.6103414728093328,0001
Muc3,0.08963367017234994,,,,1.6097831540952992,1.6097831540952992,0001
Hepacam,0.08963367017234994,,,,1.607831373611667,1.607831373611667,0001
Acap1,0.08963367017234994,1.0185654072762014,,,1.6056474648142292,1.6056474648142292,0001
Grem1,0.08963367017234994,,,,1.6036295502635203,1.6036295502635203,0001
Il27ra,0.08963367017234994,,,,1.599501213172377,1.599501213172377,0001
Stk33,0.08963367017234994,,,1.1206118673366152,1.5960289967314218,1.5960289967314218,0001
Pabpc4l,0.08963367017234994,0.4914324929534666,1.0200615074328019,1.1437785048770766,1.5955336216732925,1.5955336216732925,0001
Sall4,0.08963367017234994,0.0014500663952330647,1.0393843203119915,1.0736857551221584,1.588676206977447,1.588676206977447,0001
Cd59b,0.08963367017234994,0.8301251320627068,1.0515075959677087,1.1327385683965305,1.5844231798243746,1.5844231798243746,0001
Nhlh2,0.08963367017234994,,1.2457373831226852,1.1618665581912075,1.5825428758847766,1.5825428758847766,0001
Gpr176,0.08963367017234994,,,,1.578290305671305,1.578290305671305,0001
Stum,0.08963367017234994,,,1.2158138059004466,1.569993407302222,1.569993407302222,0001
Gnat2,0.08963367017234994,0.635733488766201,1.076720981990179,,1.5698057412956363,1.5698057412956363,0001
Mogat1,0.08963367017234994,,,,1.5684379307777359,1.5684379307777359,0001
Rftn2,0.08963367017234994,,,1.2027771921342316,1.566745947388831,1.566745947388831,0001
Cldn11,0.08963367017234994,,,,1.5665848130969953,1.5665848130969953,0001
